matrix_size,program,runtime
"640 100 100 640","./functional_mat_mul seq no",0.18593711453411768
"640 100 100 640","./functional_mat_mul partial no",0.12870950396000003
"640 100 100 640","./functional_mat_mul partial_parallel no",0.2755594246163637
"640 100 100 640","./functional_mat_mul partial_parallel_domainslib no",0.103932279
"640 100 100 640","./imp_mat_mul seq no",0.34367296312
"640 100 100 640","./imp_mat_mul seq_opt no",0.23672277764000005
"640 100 100 640","./imp_mat_mul par no",0.07275209097897435
"640 100 100 640","./imp_mat_mul par_opt no",0.07815452327499998
"640 200 200 640","./functional_mat_mul seq no",0.28636933400000003
"640 200 200 640","./functional_mat_mul partial no",0.17959353184000004
"640 200 200 640","./functional_mat_mul partial_parallel no",0.34248123028000005
"640 200 200 640","./functional_mat_mul partial_parallel_domainslib no",0.12430405584666669
"640 200 200 640","./imp_mat_mul seq no",0.7031134814200002
"640 200 200 640","./imp_mat_mul seq_opt no",0.4689793034
"640 200 200 640","./imp_mat_mul par no",0.13739316143391303
"640 200 200 640","./imp_mat_mul par_opt no",0.13675698223272728
"640 500 500 640","./functional_mat_mul seq no",0.74266959528
"640 500 500 640","./functional_mat_mul partial no",0.31496614944
"640 500 500 640","./functional_mat_mul partial_parallel no",0.3495324789600001
"640 500 500 640","./functional_mat_mul partial_parallel_domainslib no",0.18038842552500003
"640 500 500 640","./imp_mat_mul seq no",1.8041405080600001
"640 500 500 640","./imp_mat_mul seq_opt no",1.1441793783400003
"640 500 500 640","./imp_mat_mul par no",0.29003954694
"640 500 500 640","./imp_mat_mul par_opt no",0.29107067148
"640 1000 1000 640","./functional_mat_mul seq no",1.82267213284
"640 1000 1000 640","./functional_mat_mul partial no",0.63889256898
"640 1000 1000 640","./functional_mat_mul partial_parallel no",0.43852516178000006
"640 1000 1000 640","./functional_mat_mul partial_parallel_domainslib no",0.28903394173999997
"640 1000 1000 640","./imp_mat_mul seq no",3.6238969828400003
"640 1000 1000 640","./imp_mat_mul seq_opt no",2.25413935084
"640 1000 1000 640","./imp_mat_mul par no",0.56137519704
"640 1000 1000 640","./imp_mat_mul par_opt no",0.55259179024
"640 1500 1500 640","./functional_mat_mul seq no",3.3410744112399997
"640 1500 1500 640","./functional_mat_mul partial no",0.8494733893800002
"640 1500 1500 640","./functional_mat_mul partial_parallel no",0.5587581618199999
"640 1500 1500 640","./functional_mat_mul partial_parallel_domainslib no",0.40738153814
"640 1500 1500 640","./imp_mat_mul seq no",5.580513215380001
"640 1500 1500 640","./imp_mat_mul seq_opt no",3.37823524568
"640 1500 1500 640","./imp_mat_mul par no",0.8685312280399999
"640 1500 1500 640","./imp_mat_mul par_opt no",0.8583332090400001
"640 2000 2000 640","./functional_mat_mul seq no",6.076619242579999
"640 2000 2000 640","./functional_mat_mul partial no",1.09645840124
"640 2000 2000 640","./functional_mat_mul partial_parallel no",0.7149900717000002
"640 2000 2000 640","./functional_mat_mul partial_parallel_domainslib no",0.53015447608
"640 2000 2000 640","./imp_mat_mul seq no",7.540088891079999
"640 2000 2000 640","./imp_mat_mul seq_opt no",4.50216238748
"640 2000 2000 640","./imp_mat_mul par no",1.13942406018
"640 2000 2000 640","./imp_mat_mul par_opt no",1.1158097199800001
