matrix_size,program,runtime
"640 1000 1000 200","./functional_mat_mul seq no",0.41460525472
"640 1000 1000 200","./functional_mat_mul partial no",0.25077067341
"640 1000 1000 200","./functional_mat_mul partial_parallel no",0.3376211952200001
"640 1000 1000 200","./functional_mat_mul partial_parallel_domainslib no",0.1972050976975
"640 1000 1000 200","./imp_mat_mul seq no",1.1135133987399999
"640 1000 1000 200","./imp_mat_mul seq_opt no",0.7581178444400001
"640 1000 1000 200","./imp_mat_mul par no",0.22050263941230772
"640 1000 1000 200","./imp_mat_mul par_opt no",0.22185586034000007
"640 1000 1000 500","./functional_mat_mul seq no",1.1549853022999998
"640 1000 1000 500","./functional_mat_mul partial no",0.47555165730000015
"640 1000 1000 500","./functional_mat_mul partial_parallel no",0.4115047279
"640 1000 1000 500","./functional_mat_mul partial_parallel_domainslib no",0.2551434341745455
"640 1000 1000 500","./imp_mat_mul seq no",2.7607675735
"640 1000 1000 500","./imp_mat_mul seq_opt no",1.7840552310000004
"640 1000 1000 500","./imp_mat_mul par no",0.4593658668000001
"640 1000 1000 500","./imp_mat_mul par_opt no",0.4487251389200001
"640 1000 1000 1000","./functional_mat_mul seq no",3.2079685442
"640 1000 1000 1000","./functional_mat_mul partial no",0.8605921390200001
"640 1000 1000 1000","./functional_mat_mul partial_parallel no",0.56301040288
"640 1000 1000 1000","./functional_mat_mul partial_parallel_domainslib no",0.39322511961999995
"640 1000 1000 1000","./imp_mat_mul seq no",5.8807189269
"640 1000 1000 1000","./imp_mat_mul seq_opt no",3.4903587650600003
"640 1000 1000 1000","./imp_mat_mul par no",0.84395361518
"640 1000 1000 1000","./imp_mat_mul par_opt no",0.8289859016600001
"640 1000 1000 1500","./functional_mat_mul seq no",7.807531282319999
"640 1000 1000 1500","./functional_mat_mul partial no",1.2576760501800002
"640 1000 1000 1500","./functional_mat_mul partial_parallel no",0.7428606744999999
"640 1000 1000 1500","./functional_mat_mul partial_parallel_domainslib no",0.56057621628
"640 1000 1000 1500","./imp_mat_mul seq no",8.3432186091
"640 1000 1000 1500","./imp_mat_mul seq_opt no",5.17671139548
"640 1000 1000 1500","./imp_mat_mul par no",1.19568411776
"640 1000 1000 1500","./imp_mat_mul par_opt no",1.1381396488400002
"640 1000 1000 2000","./functional_mat_mul seq no",11.60848454042
"640 1000 1000 2000","./functional_mat_mul partial no",1.59074393858
"640 1000 1000 2000","./functional_mat_mul partial_parallel no",0.8742539499200002
"640 1000 1000 2000","./functional_mat_mul partial_parallel_domainslib no",0.6791182577600001
"640 1000 1000 2000","./imp_mat_mul seq no",11.81080827432
"640 1000 1000 2000","./imp_mat_mul seq_opt no",6.9172766152400005
"640 1000 1000 2000","./imp_mat_mul par no",1.6909456256600002
"640 1000 1000 2000","./imp_mat_mul par_opt no",1.6205566406399998
